mij,666821,me,,mij 666821,,,,,
bij,655438,Bee,,bij 655438,,,,,
al,632609,already,,al 632609,,,,,
ons,602876,U.S,,ons 602876,,,,,
had,584503,had,,had 584503,,,,,
iets,583350,something,,iets 583350,,,,,
daar,581597,there,,daar 581597,,,,,
jullie,580766,you,,jullie 580766,,,,,
gaat,569583,goes,,gaat 569583,,,,,
zal,568758,shall,,zal 568758,,,,,
m,567079,m,,m 567079,,,,,
hebt,565918,have,,hebt 565918,,,,,
kom,559616,bowl,,kom 559616,,,,,
waarom,557548,Why,,waarom 557548,,,,,
meer,555563,Lake,,meer 555563,,,,,
deze,516044,this,,deze 516044,,,,,
moeten,472658,should,,moeten 472658,,,,,
t,472001,t,,t 472001,,,,,
laat,470609,leave,,laat 470609,,,,,
kunnen,468133,be able to,,kunnen 468133,,,,,
dus,461409,So,,dus 461409,,,,,
jou,448182,you,,jou 448182,,,,,
denk,439193,think,,denk 439193,,,,,
wie,435485,Who,,wie 435485,,,,,
alles,426991,everything,,alles 426991,,,,,
echt,424799,Real,,echt 424799,,,,,
doe,418336,do,,doe 418336,,,,,
door,417203,by means of,,door 417203,,,,,
alleen,407083,alone,,alleen 407083,,,,,
s,401559,s,,s 401559,,,,,
toch,392983,However,,toch 392983,,,,,
zien,383961,see,,zien 383961,,,,,
weg,376436,away,,weg 376436,,,,,
eens,371727,once,,eens 371727,,,,,
man,359475,man,,man 359475,,,,,
misschien,359214,perhaps,,misschien 359214,,,,,
laten,353505,to leave,,laten 353505,,,,,
nooit,350946,never,,nooit 350946,,,,,
nou,347555,Well,,nou 347555,,,,,
zei,342913,said,,zei 342913,,,,,
terug,342296,back,,terug 342296,,,,,
oké,341155,Okay,,oké 341155,,,,,
mee,336637,along,,mee 336637,,,,,
niets,329731,nothing,,niets 329731,,,,,
iemand,328805,someone,,iemand 328805,,,,,
komt,313150,comes,,komt 313150,,,,,
toen,312964,then,,toen 312964,,,,,
veel,307717,a lot,,veel 307717,,,,,
even,305017,for a bit,,even 305017,,,,,
onze,300608,our,,onze 300608,,,,,
gewoon,295651,just,,gewoon 295651,,,,,
weten,293558,know,,weten 293558,,,,,
komen,291569,come,,komen 291569,,,,,
nodig,291351,necessary,,nodig 291351,,,,,
mensen,290275,people,,mensen 290275,,,,,
tot,288727,until,,tot 288727,,,,,
worden,281032,become,,worden 281032,,,,,
zeggen,278585,say,,zeggen 278585,,,,,
tijd,278263,time,,tijd 278263,,,,,
weer,276186,again,,weer 276186,,,,,
leven,274544,life,,leven 274544,,,,,
twee,269781,two,,twee 269781,,,,,
net,266915,just,,net 266915,,,,,
tegen,265256,against,,tegen 265256,,,,,
maken,258350,to make,,maken 258350,,,,,
uw,257050,your,,uw 257050,,,,,
zeg,254035,say,,zeg 254035,,,,,
omdat,252830,because,,omdat 252830,,,,,
zit,251543,sit,,zit 251543,,,,,
wordt,250695,is going to be,,wordt 250695,,,,,
z,249724,z,,z 249724,,,,,
hou,247154,keep,,hou 247154,,,,,
kijk,243303,look,,kijk 243303,,,,,
heel,243287,all,,heel 243287,,,,,
wij,242654,we,,wij 242654,,,,,
altijd,234911,all the time,,altijd 234911,,,,,
mag,233769,allowed,,mag 233769,,,,,
gedaan,233289,done,,gedaan 233289,,,,,
dood,229213,dead,,dood 229213,,,,,
zeker,228323,Certainly,,zeker 228323,,,,,
af,220034,off,,af 220034,,,,,
jaar,215656,year-old,,jaar 215656,,,,,
hun,215211,their,,hun 215211,,,,,
wilde,214119,wanted to,,wilde 214119,,,,,
dag,213062,day,,dag 213062,,,,,
allemaal,210925,all,,allemaal 210925,,,,,
jouw,210824,your,,jouw 210824,,,,,
huis,210552,House,,huis 210552,,,,,
dacht,210182,thought,,dacht 210182,,,,,
doet,208207,is doing,,doet 208207,,,,,
vader,207641,father,,vader 207641,,,,,
kunt,204817,can,,kunt 204817,,,,,
wacht,203442,wait,,wacht 203442,,,,,
zie,198787,see,,zie 198787,,,,,
vrouw,198443,female,,vrouw 198443,,,,,
keer,196456,time,,keer 196456,,,,,
andere,195409,Others,,andere 195409,,,,,
zoals,195251,such as,,zoals 195251,,,,,
zij,193752,she,,zij 193752,,,,,
dank,189986,thanks,,dank 189986,,,,,
anders,189426,different,,anders 189426,,,,,
geef,189089,give,,geef 189089,,,,,
waren,188873,goods,,waren 188873,,,,,
willen,188572,want,,willen 188572,,,,,
zich,187074,herself,,zich 187074,,,,,
bedankt,185125,thanks,,bedankt 185125,,,,,
één,184315,a,,één 184315,,,,,
mr,183677,mr,,mr 183677,,,,,
erg,183563,terribly,,erg 183563,,,,,
wilt,182672,want,,wilt 182672,,,,,
praten,179721,to talk,,praten 179721,,,,,
spijt,179198,regret,,spijt 179198,,,,,
geld,178884,money,,geld 178884,,,,,
kon,178838,could,,kon 178838,,,,,
werk,178658,work,,werk 178658,,,,,
oh,177930,Oh,,oh 177930,,,,,
iedereen,176789,everyone,,iedereen 176789,,,,,
beter,176777,better,,beter 176777,,,,,
werd,175810,became,,werd 175810,,,,,
moeder,174794,mother,,moeder 174794,,,,,
niemand,174437,nobody,,niemand 174437,,,,,
vinden,173290,find,,vinden 173290,,,,,
staat,173184,stands,,staat 173184,,,,,
gezien,171287,seen,,gezien 171287,,,,,
niks,171080,nothing,,niks 171080,,,,,
binnen,167230,within,,binnen 167230,,,,,
zitten,167093,to sit,,zitten 167093,,,,,
zullen,165002,will,,zullen 165002,,,,,
na,162379,after,,na 162379,,,,,
helpen,162225,help out,,helpen 162225,,,,,
wist,161677,knew,,wist 161677,,,,,
vind,159802,find,,vind 159802,,,,,
genoeg,156685,enough,,genoeg 156685,,,,,
sorry,153660,Sorry,,sorry 153660,,,,,
vast,152616,fixed,,vast 152616,,,,,
elkaar,152602,each other,,elkaar 152602,,,,,
ging,152470,went,,ging 152470,,,,,
uur,151811,o'clock,,uur 151811,,,,,
klaar,151070,finished,,klaar 151070,,,,,
hele,150708,whole,,hele 150708,,,,,
neem,149716,take,,neem 149716,,,,,
leuk,148031,nice,,leuk 148031,,,,,
natuurlijk,147413,naturally,,natuurlijk 147413,,,,,
alle,146723,all,,alle 146723,,,,,
god,145302,God,,god 145302,,,,,
maak,144655,make,,maak 144655,,,,,
lang,144498,long,,lang 144498,,,,,
kwam,142612,came,,kwam 142612,,,,,
graag,141828,Please,,graag 141828,,,,,
hé,141375,Hey,,hé 141375,,,,,
toe,141284,toast,,toe 141284,,,,,
drie,141271,three,,drie 141271,,,,,
zegt,140895,say,,zegt 140895,,,,,
bedoel,140818,mean,,bedoel 140818,,,,,
deed,139507,did,,deed 139507,,,,,
dingen,139324,things,,dingen 139324,,,,,
maakt,138947,make,,maakt 138947,,,,,
alsjeblieft,138555,please,,alsjeblieft 138555,,,,,
eerste,138080,first,,eerste 138080,,,,,
krijgen,137832,to get,,krijgen 137832,,,,,
zonder,135995,without,,zonder 135995,,,,,
steeds,135812,still,,steeds 135812,,,,,
hallo,134987,Hey,,hallo 134987,,,,,
houden,134284,to hold,,houden 134284,,,,,
vertellen,134044,to tell,,vertellen 134044,,,,,
ziet,133855,sees,,ziet 133855,,,,,
idee,132998,idea,,idee 132998,,,,,
geven,131642,to give,,geven 131642,,,,,
achter,131354,behind,,achter 131354,,,,,
geweest,129097,been,,geweest 129097,,,,,
blijven,128599,to stay,,blijven 128599,,,,,
helemaal,128515,all the way,,helemaal 128515,,,,,
mooi,127879,pretty,,mooi 127879,,,,,
onder,127669,below,,onder 127669,,,,,
kijken,126801,to look,,kijken 126801,,,,,
zag,126486,saw,,zag 126486,,,,,
goede,125885,good,,goede 125885,,,,,
naam,125347,name,,naam 125347,,,,,
moest,125032,had to,,moest 125032,,,,,
blijf,124084,stay,,blijf 124084,,,,,
kun,123657,can,,kun 123657,,,,,
auto,123520,car,,auto 123520,,,,,
luister,123012,listen,,luister 123012,,,,,
grote,122566,great,,grote 122566,,,,,
lijkt,122559,seems,,lijkt 122559,,,,,
snel,122260,fast,,snel 122260,,,,,
ooit,121243,ever,,ooit 121243,,,,,
vragen,120995,to ask,,vragen 120995,,,,,
paar,119519,couple,,paar 119519,,,,,
wanneer,118956,when,,wanneer 118956,,,,,
want,118206,because,,want 118206,,,,,
meneer,118042,Sir,,meneer 118042,,,,,
nieuwe,117799,new ones,,nieuwe 117799,,,,,
gebeurd,117783,happened,,gebeurd 117783,,,,,
zorgen,117301,to care,,zorgen 117301,,,,,
vriend,117110,friend,,vriend 117110,,,,,
beetje,116575,bit,,beetje 116575,,,,,
kinderen,115945,children,,kinderen 115945,,,,,
gek,115234,freak,,gek 115234,,,,,
hand,114442,hand,,hand 114442,,,,,
vraag,113408,ask,,vraag 113408,,,,,
laatste,113141,last,,laatste 113141,,,,,
geweldig,111774,awesome,,geweldig 111774,,,,,
hadden,111707,had,,hadden 111707,,,,,
zelfs,110112,even,,zelfs 110112,,,,,
enige,108971,some,,enige 108971,,,,,
bang,108357,anxious,,bang 108357,,,,,
nemen,107484,take,,nemen 107484,,,,,
samen,106665,together,,samen 106665,,,,,
eten,106458,food,,eten 106458,,,,,
o,106208,O,,o 106208,,,,,
zelf,105869,yourself,,zelf 105869,,,,,
hoor,104358,hear,,hoor 104358,,,,,
geleden,104345,past,,geleden 104345,,,,,
staan,103274,to stand,,staan 103274,,,,,
gevonden,101957,found it,,gevonden 101957,,,,,
jongen,101830,boy,,jongen 101830,,,,,
denken,100712,to think,,denken 100712,,,,,
vandaag,100632,Today,,vandaag 100632,,,,,
denkt,99598,think,,denkt 99598,,,,,
beste,99513,Best,,beste 99513,,,,,
gezegd,98732,said,,gezegd 98732,,,,,
thuis,98444,At home,,thuis 98444,,,,,
wereld,98156,world,,wereld 98156,,,,,
jongens,97813,boys,,jongens 97813,,,,,
heen,97706,away,,heen 97706,,,,,
ken,96085,know,,ken 96085,,,,,
hen,95818,them,,hen 95818,,,,,
eerst,95781,first,,eerst 95781,,,,,
eigen,94649,own,,eigen 94649,,,,,
zoon,94005,son,,zoon 94005,,,,,
gelijk,93785,directly,,gelijk 93785,,,,,
buiten,93577,Outside,,buiten 93577,,,,,
vertel,93539,tell,,vertel 93539,,,,,
morgen,92943,tomorrow,,morgen 92943,,,,,
meisje,92677,girl,,meisje 92677,,,,,
probleem,92207,problem,,probleem 92207,,,,,
alsof,92100,as if,,alsof 92100,,,,,
geloof,91786,believe,,geloof 91786,,,,,
halen,91416,to fetch,,halen 91416,,,,,
familie,91381,family,,familie 91381,,,,,
elke,91190,each,,elke 91190,,,,,
zouden,90745,would,,zouden 90745,,,,,
hoop,90558,heap,,hoop 90558,,,,,
politie,89831,Police,,politie 89831,,,,,
mannen,88242,men,,mannen 88242,,,,,
bijna,88083,almost,,bijna 88083,,,,,
vermoord,87785,murdered,,vermoord 87785,,,,,
eigenlijk,87166,actually,,eigenlijk 87166,,,,,
werken,86903,to work,,werken 86903,,,,,
verdomme,86880,damn,,verdomme 86880,,,,,
horen,86323,to hear,,horen 86323,,,,,
manier,86308,way,,manier 86308,,,,,
zat,86182,was sitting,,zat 86182,,,,,
vrienden,86123,friends,,vrienden 86123,,,,,
precies,85303,precisely,,precies 85303,,,,,
kind,84394,child,,kind 84394,,,,,
hè,83925,Hey,,hè 83925,,,,,
kleine,83652,little,,kleine 83652,,,,,
begrijp,83359,understand,,begrijp 83359,,,,,
wou,83099,wish,,wou 83099,,,,,
geeft,82928,gives,,geeft 82928,,,,,
orde,82400,order,,orde 82400,,,,,
houdt,82085,holds,,houdt 82085,,,,,
verder,81608,further,,verder 81608,,,,,
vroeg,81010,early,,vroeg 81010,,,,,
stop,80987,Stop,,stop 80987,,,,,
wachten,80968,wait,,wachten 80968,,,,,
rustig,80885,Calm,,rustig 80885,,,,,
hoofd,80392,head,,hoofd 80392,,,,,
krijg,80016,receive,,krijg 80016,,,,,
daarom,79644,therefore,,daarom 79644,,,,,
gebeurt,79365,happen,,gebeurt 79365,,,,,
soms,79301,sometimes,,soms 79301,,,,,
volgens,78650,according to,,volgens 78650,,,,,
dagen,78121,to dawn,,dagen 78121,,,,,
vond,77407,found,,vond 77407,,,,,
krijgt,77203,gets,,krijgt 77203,,,,,
gemaakt,77105,made,,gemaakt 77105,,,,,
kant,77067,side,,kant 77067,,,,,
werkt,76674,works,,werkt 76674,,,,,
open,76371,Open,,open 76371,,,,,
gehad,76346,had,,gehad 76346,,,,,
voel,76130,feeling,,voel 76130,,,,,
zaak,75855,case,,zaak 75855,,,,,
blij,75681,pleased,,blij 75681,,,,,
volgende,75620,next one,,volgende 75620,,,,,
zoek,75591,Search,,zoek 75591,,,,,
kans,75545,opportunity,,kans 75545,,,,,
vanavond,74852,this evening,,vanavond 74852,,,,,
bel,74744,bubble,,bel 74744,,,,,
probeer,74432,try,,probeer 74432,,,,,
zoeken,73343,Search,,zoeken 73343,,,,,
oude,73245,old,,oude 73245,,,,,
ding,73212,thing,,ding 73212,,,,,
moment,73205,moment,,moment 73205,,,,,
best,72892,best,,best 72892,,,,,
tussen,72407,between,,tussen 72407,,,,,
plaats,72264,Place,,plaats 72264,,,,,
pas,72216,pass,,pas 72216,,,,,
gehoord,72189,heard,,gehoord 72189,,,,,
vijf,72124,five,,vijf 72124,,,,,
verteld,71375,told,,verteld 71375,,,,,
zet,70421,move,,zet 70421,,,,,
prima,70022,fine,,prima 70022,,,,,
hulp,69889,staff,,hulp 69889,,,,,
stad,69801,city,,stad 69801,,,,,
vindt,69293,finds,,vindt 69293,,,,,
brengen,68945,to take,,brengen 68945,,,,,
pijn,68893,pain,,pijn 68893,,,,,
slecht,68519,bad,,slecht 68519,,,,,
geloven,68314,to believe,,geloven 68314,,,,,
eruit,68306,get out,,eruit 68306,,,,,
minuten,68121,minutes,,minuten 68121,,,,,
school,67892,school,,school 67892,,,,,
plan,67744,plan,,plan 67744,,,,,
broer,67705,brother,,broer 67705,,,,,
pak,67661,business suit,,pak 67661,,,,,
jezelf,67188,yourself,,jezelf 67188,,,,,
hoeveel,67162,How much,,hoeveel 67162,,,,,
kamer,66186,room,,kamer 66186,,,,,
betekent,65961,means,,betekent 65961,,,,,
spreken,65936,speak,,spreken 65936,,,,,
juist,65493,right,,juist 65493,,,,,
heet,65251,is called,,heet 65251,,,,,
soort,65248,kind,,soort 65248,,,,,
haal,64852,get,,haal 64852,,,,,
ergens,64809,somewhere,,ergens 64809,,,,,
vier,64780,four,,vier 64780,,,,,
gebruiken,64681,use,,gebruiken 64681,,,,,
ligt,64405,lies,,ligt 64405,,,,,
blijft,64238,stays,,blijft 64238,,,,,
welke,64115,which,,welke 64115,,,,,
proberen,64012,to attempt,,proberen 64012,,,,,
dokter,63817,doctor,,dokter 63817,,,,,
agent,63555,agent,,agent 63555,,,,,
help,63532,Help,,help 63532,,,,,
later,63082,later,,later 63082,,,,,
voordat,63075,before,,voordat 63075,,,,,
ogen,62918,eyes,,ogen 62918,,,,,
vrij,62903,free,,vrij 62903,,,,,
klopt,62698,beats,,klopt 62698,,,,,
gaf,62679,gave,,gaf 62679,,,,,
foto,62534,photo,,foto 62534,,,,,
word,62511,become,,word 62511,,,,,
zodat,62255,so that,,zodat 62255,,,,,
dochter,61982,daughter,,dochter 61982,,,,,
problemen,61468,issues,,problemen 61468,,,,,
plek,60863,place,,plek 60863,,,,,
water,60841,water,,water 60841,,,,,
kent,60829,knows,,kent 60829,,,,,
week,60761,week,,week 60761,,,,,
beginnen,60700,to start,,beginnen 60700,,,,,
praat,60565,talk,,praat 60565,,,,,
eerder,60548,earlier,,eerder 60548,,,,,
lk,60362,lk,,lk 60362,,,,,
mis,60292,wrong,,mis 60292,,,,,
handen,60071,hands,,handen 60071,,,,,
deur,59630,door,,deur 59630,,,,,
baby,59278,baby,,baby 59278,,,,,
bellen,59053,to ring,,bellen 59053,,,,,
boven,59016,above,,boven 59016,,,,,
groot,58985,big,,groot 58985,,,,,
echte,58959,real,,echte 58959,,,,,
hoeft,58632,needs,,hoeft 58632,,,,,
ie,58600,ie,,ie 58600,,,,,
doden,58363,kill,,doden 58363,,,,,
stoppen,58247,fuses,,stoppen 58247,,,,,
moeilijk,58228,difficult,,moeilijk 58228,,,,,
dr,57649,dr,,dr 57649,,,,,
sinds,57267,since,,sinds 57267,,,,,
land,57099,country,,land 57099,,,,,
spelen,57039,play,,spelen 57039,,,,,
zoveel,56681,that much,,zoveel 56681,,,,,
hetzelfde,56072,the same,,hetzelfde 56072,,,,,
mevrouw,55850,Mrs,,mevrouw 55850,,,,,
snap,55686,snap,,snap 55686,,,,,
breng,55649,bring,,breng 55649,,,,,
pakken,55220,to grab,,pakken 55220,,,,,
druk,55117,Busy,,druk 55117,,,,,
verhaal,55047,story,,verhaal 55047,,,,,
lekker,55015,yummy,,lekker 55015,,,,,
vrouwen,54920,women,,vrouwen 54920,,,,,
schat,54898,treasure,,schat 54898,,,,,
vergeten,54741,to forget,,vergeten 54741,,,,,
gebeuren,54607,to happen,,gebeuren 54607,,,,,
ervan,54520,of it,,ervan 54520,,,,,
kreeg,54466,got,,kreeg 54466,,,,,
waarschijnlijk,54358,probably,,waarschijnlijk 54358,,,,,
hoi,54330,Hi,,hoi 54330,,,,,
mogelijk,53888,possible,,mogelijk 53888,,,,,
mooie,53773,nice,,mooie 53773,,,,,
bloed,53765,blood,,bloed 53765,,,,,
wees,53317,orphan,,wees 53317,,,,,
nacht,53267,night,,nacht 53267,,,,,
nieuws,53254,news,,nieuws 53254,,,,,
bed,53226,bed,,bed 53226,,,,,
liet,53125,let,,liet 53125,,,,,
lopen,52842,walk,,lopen 52842,,,,,
gelukkig,52806,happy,,gelukkig 52806,,,,,
waarheid,52805,truth,,waarheid 52805,,,,,
reden,52589,rode,,reden 52589,,,,,
papa,52556,Daddy,,papa 52556,,,,,
hoorde,52304,heard,,hoorde 52304,,,,,
klinkt,52079,sounds,,klinkt 52079,,,,,
maanden,52069,months,,maanden 52069,,,,,
vermoorden,52031,murder,,vermoorden 52031,,,,,
zorg,51990,concern,,zorg 51990,,,,,
dollar,51705,dollar,,dollar 51705,,,,,
bezig,51568,in process,,bezig 51568,,,,,
voorbij,51461,past,,voorbij 51461,,,,,
terwijl,51386,while,,terwijl 51386,,,,,
sta,51380,stae,,sta 51380,,,,,
zaken,51286,Affairs,,zaken 51286,,,,,
avond,51218,evening,,avond 51218,,,,,
tien,51105,ten,,tien 51105,,,,,
schuld,51056,debt,,schuld 51056,,,,,
veilig,50903,safe,,veilig 50903,,,,,
redden,50611,to save,,redden 50611,,,,,
hart,50609,heart,,hart 50609,,,,,
zult,50560,will,,zult 50560,,,,,
duidelijk,50325,clear,,duidelijk 50325,,,,,
stel,50175,couple,,stel 50175,,,,,
the,50102,the,,the 50102,,,,,
schiet,50037,shoot,,schiet 50037,,,,,
eraan,50016,toe,,eraan 50016,,,,,
zes,49982,six,,zes 49982,,,,,
begin,49685,get started,,begin 49685,,,,,
gekomen,49497,come,,gekomen 49497,,,,,
vol,49460,full,,vol 49460,,,,,
vriendin,49358,girlfriend,,vriendin 49358,,,,,
rond,49059,round,,rond 49059,,,,,
voelt,49014,feels,,voelt 49014,,,,,
baas,48971,boss,,baas 48971,,,,,
moord,48872,murder,,moord 48872,,,,,
ander,48843,other,,ander 48843,,,,,
klein,48749,small,,klein 48749,,,,,
fijn,48589,nice,,fijn 48589,,,,,
jaren,48578,years,,jaren 48578,,,,,
mam,48070,mam,,mam 48070,,,,,
lichaam,47882,body,,lichaam 47882,,,,,
eerlijk,47810,honestly,,eerlijk 47810,,,,,
gezicht,47803,sight,,gezicht 47803,,,,,
ver,47792,far,,ver 47792,,,,,
wakker,47750,wake-up,,wakker 47750,,,,,
ouders,47675,parents,,ouders 47675,,,,,
zoiets,47574,such a thing,,zoiets 47574,,,,,
leren,47431,to learn,,leren 47431,,,,,
telefoon,47429,telephone,,telefoon 47429,,,,,
los,47185,loose,,los 47185,,,,,
per,46924,per,,per 46924,,,,,
mama,46820,mom,,mama 46820,,,,,
nummer,46581,number,,nummer 46581,,,,,
fout,46511,error,,fout 46511,,,,,
mogen,46347,to be allowed to,,mogen 46347,,,,,
meteen,46199,right away,,meteen 46199,,,,,
slapen,46123,to sleep,,slapen 46123,,,,,
zeer,46111,very,,zeer 46111,,,,,
dezelfde,45938,the same,,dezelfde 45938,,,,,
liefde,45767,love,,liefde 45767,,,,,
alstublieft,45696,Please,,alstublieft 45696,,,,,
deel,45662,part,,deel 45662,,,,,
liggen,45510,lying down,,liggen 45510,,,,,
erop,45415,on top,,erop 45415,,,,,
vaak,45386,often,,vaak 45386,,,,,
vallen,45284,fall,,vallen 45284,,,,,
belangrijk,44823,important,,belangrijk 44823,,,,,
sterven,44628,die,,sterven 44628,,,,,
oud,44604,old,,oud 44604,,,,,
neer,44595,down,,neer 44595,,,,,
buurt,44533,neighbourhood,,buurt 44533,,,,,
langs,44529,by,,langs 44529,,,,,
houd,44363,loves,,houd 44363,,,,,
rest,44302,rest,,rest 44302,,,,,
stond,44174,was standing,,stond 44174,,,,,
sir,44022,sir,,sir 44022,,,,,
begrepen,43973,understood,,begrepen 43973,,,,,
drinken,43854,drinks,,drinken 43854,,,,,
team,43410,team,,team 43410,,,,,
vertelde,43281,told,,vertelde 43281,,,,,
beneden,43261,downstairs,,beneden 43261,,,,,
vergeet,43213,forgets,,vergeet 43213,,,,,
vooruit,43171,forward,,vooruit 43171,,,,,
mrs,43163,MRS,,mrs 43163,,,,,
hoort,43123,belongs,,hoort 43123,,,,,
baan,42966,track,,baan 42966,,,,,
dicht,42908,closed,,dicht 42908,,,,,
inderdaad,42901,indeed,,inderdaad 42901,,,,,
geval,42854,case,,geval 42854,,,,,
zetten,42520,to make,,zetten 42520,,,,,
oorlog,42460,war,,oorlog 42460,,,,,
mezelf,42111,myself,,mezelf 42111,,,,,
tijdens,42029,while,,tijdens 42029,,,,,
john,41998,John,,john 41998,,,,,
maakte,41931,melt,,maakte 41931,,,,,
kennen,41881,know,,kennen 41881,,,,,
gebruikt,41872,used,,gebruikt 41872,,,,,
oke,41404,Okay,,oke 41404,,,,,
geluk,41207,luck,,geluk 41207,,,,,
hey,41125,hey,,hey 41125,,,,,
hield,41017,loved,,hield 41017,,,,,
wapen,40809,weapon,,wapen 40809,,,,,
kop,40757,cup,,kop 40757,,,,,
vertrouwen,40719,to trust,,vertrouwen 40719,,,,,
rust,40686,peace,,rust 40686,,,,,
mond,40549,mouth,,mond 40549,,,,,
weken,40353,weeks,,weken 40353,,,,,
elk,40102,each,,elk 40102,,,,,
betalen,40089,Pay,,betalen 40089,,,,,
anderen,40002,Others,,anderen 40002,,,,,
neemt,39919,take,,neemt 39919,,,,,
recht,39851,straight,,recht 39851,,,,,
nam,39811,took,,nam 39811,,,,,
jack,39704,jacket,,jack 39704,,,,,
kantoor,39590,office,,kantoor 39590,,,,,
gegeven,39508,datum,,gegeven 39508,,,,,
ermee,39489,with it,,ermee 39489,,,,,
overal,39489,everywhere,,overal 39489,,,,,
eén,39356,a,,eén 39356,,,,,
daarna,39346,then,,daarna 39346,,,,,
tweede,39232,second,,tweede 39232,,,,,
onderzoek,39172,research,,onderzoek 39172,,,,,
welkom,39139,welcome,,welkom 39139,,,,,
hard,39129,hard,,hard 39129,,,,,
liever,39078,rather,,liever 39078,,,,,
bewijs,39005,proof,,bewijs 39005,,,,,
vanaf,38990,from,,vanaf 38990,,,,,
aardig,38750,friendly,,aardig 38750,,,,,
klootzak,38177,asshole,,klootzak 38177,,,,,
stuk,38103,piece,,stuk 38103,,,,,
woord,38045,word,,woord 38045,,,,,
veranderen,37709,change,,veranderen 37709,,,,,
zin,37661,sentence,,zin 37661,,,,,
straks,37601,soon,,straks 37601,,,,,
vent,37493,vent,,vent 37493,,,,,
zus,37423,sister,,zus 37423,,,,,
haat,37392,hate,,haat 37392,,,,,
vandaan,37082,from,,vandaan 37082,,,,,
miss,36969,miss,,miss 36969,,,,,
lieverd,36929,Darling,,lieverd 36929,,,,,
zichzelf,36924,herself,,zichzelf 36924,,,,,
nieuw,36821,new,,nieuw 36821,,,,,
ontmoeten,36709,Meet,,ontmoeten 36709,,,,,
werden,36285,became,,werden 36285,,,,,
allebei,36178,both,,allebei 36178,,,,,
minder,36169,fewer,,minder 36169,,,,,
pap,36114,dad,,pap 36114,,,,,
nergens,36087,nowhere,,nergens 36087,,,,,
kwaad,36067,pissed off,,kwaad 36067,,,,,
sam,36052,sam,,sam 36052,,,,,
erin,35890,in,,erin 35890,,,,,
ervoor,35890,before,,ervoor 35890,,,,,
kerel,35849,guy,,kerel 35849,,,,,
gisteren,35814,yesterday,,gisteren 35814,,,,,
ontmoet,35797,meet,,ontmoet 35797,,,,,
miljoen,35595,million,,miljoen 35595,,,,,
ok,35551,OK,,ok 35551,,,,,
film,35549,movie,,film 35549,,,,,
verloren,35488,lost,,verloren 35488,,,,,
probeerde,35403,tried,,probeerde 35403,,,,,
gebeld,35366,acquired,,gebeld 35366,,,,,
new,35306,new,,new 35306,,,,,
antwoord,35114,reply,,antwoord 35114,,,,,
noemen,35032,to mention,,noemen 35032,,,,,
informatie,35029,information,,informatie 35029,,,,,
